city_code,CAGR,Geometric Mean Return,Annualized Volatility,Sharpe Ratio,City Name
01101,4.71%,5.68%,9.39%,0.605,札幌市中央区
01102,4.83%,5.14%,6.33%,0.813,札幌市北区
01103,3.23%,3.40%,5.92%,0.573,札幌市東区
01104,3.02%,3.15%,5.35%,0.590,札幌市白石区
01105,2.91%,3.20%,5.34%,0.599,札幌市豊平区
01106,1.07%,1.03%,4.93%,0.208,札幌市南区
01107,3.15%,3.24%,4.74%,0.683,札幌市西区
01108,3.21%,3.32%,5.91%,0.562,札幌市厚別区
01109,2.98%,2.83%,5.73%,0.494,札幌市手稲区
01110,2.64%,2.61%,5.71%,0.458,札幌市清田区
01202,-1.88%,-1.77%,2.35%,-0.755,函館市
01203,0.25%,0.04%,4.69%,0.008,小樽市
01204,-1.22%,-1.17%,1.98%,-0.592,旭川市
01205,-1.84%,-1.94%,1.04%,-1.865,室蘭市
01206,-1.23%,-1.34%,2.45%,-0.549,釧路市
01207,0.48%,0.47%,4.09%,0.116,帯広市
01208,-1.50%,-1.69%,3.19%,-0.531,北見市
01209,-5.51%,-5.77%,1.78%,-3.240,夕張市
01210,-2.93%,-3.26%,2.96%,-1.099,岩見沢市
01211,-2.71%,-2.77%,1.62%,-1.705,網走市
01212,-5.63%,-5.88%,5.77%,-1.019,留萌市
01213,-1.15%,-1.21%,1.60%,-0.755,苫小牧市
01214,-4.14%,-3.98%,4.61%,-0.864,稚内市
01215,-7.00%,-7.15%,3.69%,-1.938,美唄市
01216,-5.10%,-4.71%,2.34%,-2.010,芦別市
01217,2.86%,2.81%,7.73%,0.364,江別市
01218,-4.76%,-4.65%,2.69%,-1.728,赤平市
01219,-5.52%,-5.47%,6.10%,-0.896,紋別市
01220,-4.23%,-4.23%,2.86%,-1.475,士別市
01221,-1.88%,-2.03%,3.02%,-0.673,名寄市
01222,-5.39%,-4.44%,4.50%,-0.986,三笠市
01223,-3.09%,-3.33%,5.37%,-0.620,根室市
01224,2.38%,2.23%,8.13%,0.274,千歳市
01225,-3.51%,-3.67%,3.11%,-1.179,滝川市
01226,-4.96%,-4.92%,3.05%,-1.613,砂川市
01227,-5.56%,-4.78%,4.96%,-0.964,歌志内市
01228,-6.38%,-6.50%,4.85%,-1.341,深川市
01229,-0.07%,-0.46%,4.55%,-0.101,富良野市
01230,-1.84%,-1.98%,2.11%,-0.935,登別市
01231,3.15%,2.77%,8.27%,0.335,恵庭市
01233,-0.58%,-0.19%,2.30%,-0.081,伊達市
01234,3.62%,3.28%,9.76%,0.336,北広島市
01235,1.95%,1.58%,8.43%,0.187,石狩市
01236,-1.38%,-1.40%,2.40%,-0.584,北斗市
01303,-5.77%,-5.76%,2.28%,-2.525,当別町
01332,-3.82%,-3.83%,0.53%,-7.267,福島町
01334,-4.05%,-4.05%,1.55%,-2.604,木古内町
01337,-0.39%,-0.63%,4.54%,-0.139,七飯町
01345,-4.24%,-4.29%,1.63%,-2.624,森町
01346,-3.68%,-3.74%,0.88%,-4.260,八雲町
01347,-4.61%,-4.66%,2.32%,-2.010,長万部町
01361,-5.71%,-5.69%,1.39%,-4.109,江差町
01370,-3.57%,-3.57%,2.07%,-1.726,今金町
01371,-3.26%,-3.25%,1.39%,-2.333,せたな町
01400,11.60%,10.66%,18.62%,0.573,倶知安町
01401,-1.58%,-1.51%,2.96%,-0.510,共和町
01402,-4.47%,-4.58%,2.88%,-1.592,岩内町
01406,-5.77%,-5.64%,2.01%,-2.800,古平町
01408,-4.64%,-4.79%,2.10%,-2.281,余市町
01423,-4.03%,-4.16%,2.69%,-1.546,南幌町
01424,-5.89%,-5.83%,0.91%,-6.442,奈井江町
01428,-2.59%,-2.67%,1.20%,-2.230,長沼町
01429,-3.99%,-3.94%,1.89%,-2.090,栗山町
01432,-4.07%,-4.41%,1.71%,-2.587,新十津川町
01452,-0.49%,-0.73%,6.59%,-0.111,鷹栖町
01453,-1.54%,-1.65%,3.98%,-0.414,東神楽町
01457,-4.21%,-4.23%,1.26%,-3.347,上川町
01459,-4.08%,-4.28%,3.69%,-1.161,美瑛町
01460,-3.80%,-4.11%,2.76%,-1.492,上富良野町
01468,-2.21%,-2.13%,11.38%,-0.187,下川町
01469,-5.26%,-5.24%,15.41%,-0.340,美深町
01481,-4.50%,-4.36%,2.92%,-1.494,増毛町
01484,-5.36%,-5.43%,7.83%,-0.693,羽幌町
01512,-6.20%,-6.18%,8.25%,-0.749,浜頓別町
01514,-4.61%,-4.72%,7.42%,-0.636,枝幸町
01543,-2.73%,-2.83%,1.39%,-2.035,美幌町
01545,-2.37%,-2.39%,0.69%,-3.472,斜里町
01555,-2.91%,-3.18%,2.96%,-1.076,遠軽町
01560,-5.82%,-5.61%,8.08%,-0.694,滝上町
01561,-4.92%,-4.81%,5.94%,-0.810,興部町
01563,-3.65%,-3.62%,0.58%,-6.267,雄武町
01564,-2.46%,-2.40%,0.92%,-2.610,大空町
01575,-2.25%,-2.28%,0.99%,-2.291,壮瞥町
01578,-2.93%,-2.90%,1.92%,-1.514,白老町
01581,-1.12%,-1.16%,3.06%,-0.379,厚真町
